category,rating_level,keyword,template_text,variation_group
ATTITUDE,TE,GENERAL,"Hôm nay {Student} rất mất tập trung, hay làm việc riêng và không chú ý vào bài giảng. Cô phải nhắc nhở nhiều lần nhưng con vẫn không cải thiện.",1
ATTITUDE,TE,GENERAL,"{Student} học trong tâm trạng uể oải, liên tục ngáp và không có hứng thú với bài học. Điều này ảnh hưởng nghiêm trọng đến hiệu quả tiếp thu.",2
ATTITUDE,TE,GENERAL,Con thể hiện thái độ thiếu hợp tác trong giờ học. {Student} không tham gia các hoạt động nhóm và từ chối trả lời khi được gọi tên.,3
ATTITUDE,TE,GENERAL,"Thái độ học tập của {Student} hôm nay rất kém. Con hay nói chuyện riêng, không làm bài tập và tỏ ra khó chịu khi được nhắc nhở.",4
ATTITUDE,TE,GENERAL,{Student} đến lớp trong trạng thái buồn ngủ và không thể tập trung. Con gục đầu nhiều lần và không theo kịp tiến độ bài giảng.,5
ATTITUDE,TE,GENERAL,"Hôm nay con học rất tâm bất tại tâm, hay nhìn ra ngoài cửa sổ hoặc mải mê với đồ dùng cá nhân. {Student} cần điều chỉnh thái độ nghiêm túc hơn.",6
ATTITUDE,TE,GENERAL,"{Student} thể hiện sự chán nản rõ rệt với bài học. Con không ghi chép, không làm bài tập và thường xuyên hỏi 'bao giờ hết giờ'.",7
ATTITUDE,TE,GENERAL,"Con học trong tâm trạng tiêu cực, phàn nàn về độ khó của bài và từ chối cố gắng. Thái độ này của {Student} cần được thay đổi ngay.",8
ATTITUDE,TE,GENERAL,"{Student} hay bị phân tâm bởi các yếu tố xung quanh, không duy trì được sự tập trung. Cô phải liên tục gọi tên để con quay lại bài.",9
ATTITUDE,TE,GENERAL,Hôm nay {Student} có thái độ thiếu tôn trọng. Con hay cắt ngang lời giáo viên và không lắng nghe hướng dẫn.,10
ATTITUDE,TRUNG_BINH,GENERAL,{Student} có chú ý nghe giảng nhưng chưa thực sự chủ động trong việc tham gia xây dựng bài. Con cần tích cực hơn nữa để nâng cao hiệu quả học tập.,1
ATTITUDE,TRUNG_BINH,GENERAL,Thái độ học của {Student} hôm nay ở mức trung bình khá. Con nghe giảng đều đặn nhưng thiếu sự nhiệt huyết và tương tác với giáo viên.,2
ATTITUDE,TRUNG_BINH,GENERAL,"Con học với thái độ bình thường, không có gì nổi bật. {Student} làm đúng những gì được yêu cầu nhưng chưa vượt ra ngoài kỳ vọng.",3
ATTITUDE,TRUNG_BINH,GENERAL,{Student} có vẻ hơi thụ động trong giờ học. Con chỉ trả lời khi được gọi tên chứ không tự giác đặt câu hỏi hay phát biểu ý kiến.,4
ATTITUDE,TRUNG_BINH,GENERAL,Hôm nay {Student} học với thái độ ổn định nhưng chưa thật sự say mê. Con cần thêm động lực để thể hiện hết khả năng của mình.,5
ATTITUDE,TRUNG_BINH,GENERAL,Con tập trung nghe giảng nhưng có lúc bị xao nhãng. {Student} cần cải thiện khả năng duy trì sự chú ý trong thời gian dài hơn.,6
ATTITUDE,TRUNG_BINH,GENERAL,"{Student} thể hiện thái độ học tập chấp nhận được, không quá tốt cũng không quá xấu. Con làm bài đầy đủ nhưng thiếu sự tỉ mỉ.",7
